2 2.5 2.5
8 6 1 1 1 1

Coordinates
1            5            5            5
2            5            5            0
3            0            5            5
4            5            0            5
5            0            0            5
6            5            0            0
7            0            5            0
8            0            0            0
EndCoordinates

Elements
1 5 1 4 6
2 3 5 8 1
3 1 7 2 6
4 8 6 7 1
5 8 7 3 1
6 6 8 5 1
EndElements

Dirichlet_U
1           4
2           4
4           4
6           4
EndDirichlet

Dirichlet_V
1           5
2           5
4           5
6           5
EndDirichlet

Dirichlet_W
1           7
2           7
4           7
6           7
EndDirichlet

Dirichlet_P
3           6
5           6
7           6
8           6
EndDirichlet
